Designator,Mid X,Mid Y,Layer,Rotation
C1,158.400000mm,-178.890000mm,Top,270
C2,183.100000mm,-120.830000mm,Top,180
C3,144.240000mm,-104.580000mm,Top,180
C4,164.085000mm,-99.450000mm,Top,0
C5,147.030000mm,-96.410000mm,Top,180
C6,142.490000mm,-75.350000mm,Top,0
C7,166.910000mm,-85.750000mm,Top,180
C8,183.900000mm,-75.180000mm,Top,180
C9,203.420000mm,-71.180000mm,Top,0
C10,189.510000mm,-81.320000mm,Top,0
C11,181.570000mm,-96.320000mm,Top,0
C12,205.360000mm,-116.220000mm,Top,0
C13,217.890000mm,-210.080000mm,Top,180
C14,196.660000mm,-138.170000mm,Top,0
C15,197.370000mm,-123.300000mm,Top,0
C16,158.420000mm,-164.570000mm,Top,0
C17,212.800000mm,-133.170000mm,Top,0
C18,219.400000mm,-143.460000mm,Top,0
C19,234.050000mm,-146.200000mm,Top,0
C20,222.890000mm,-152.560000mm,Top,0
C21,238.660000mm,-160.540000mm,Top,0
C22,255.330000mm,-159.210000mm,Top,0
C23,242.270000mm,-178.170000mm,Top,0
C24,143.145000mm,-195.600000mm,Top,180
C25,146.245000mm,-195.600000mm,Top,0
C26,143.145000mm,-194.000000mm,Top,180
C27,186.750000mm,-183.910000mm,Top,0
C28,186.750000mm,-185.660000mm,Top,0
C29,123.150000mm,-150.340000mm,Top,180
C30,123.150000mm,-151.940000mm,Top,180
C31,123.150000mm,-148.740000mm,Top,180
C32,123.150000mm,-147.140000mm,Top,180
C33,139.070000mm,-206.150000mm,Top,90
C34,132.670000mm,-206.180000mm,Top,270
C35,137.915000mm,-174.980000mm,Top,90
C36,129.015000mm,-169.180000mm,Top,90
C37,137.915000mm,-169.180000mm,Top,270
C38,171.870000mm,-193.120000mm,Top,270
C39,163.770000mm,-193.240000mm,Top,270
C40,173.440000mm,-193.140000mm,Top,270
C41,136.760000mm,-148.040000mm,Top,270
C42,132.390000mm,-188.820000mm,Top,180
C43,146.420000mm,-188.795000mm,Top,0
C44,136.760000mm,-151.140000mm,Top,270
D1,187.170000mm,-121.270000mm,Top,270
D2,182.230000mm,-117.900000mm,Top,0
D3,149.250000mm,-105.730000mm,Top,225
D4,162.610000mm,-103.540000mm,Top,150
D5,146.150000mm,-93.110000mm,Top,0
D6,139.980000mm,-81.620000mm,Top,0
D7,166.030000mm,-82.140000mm,Top,0
D8,182.940000mm,-72.260000mm,Top,0
D9,204.290000mm,-74.090000mm,Top,180
D10,190.350000mm,-84.310000mm,Top,180
D11,182.600000mm,-100.070000mm,Top,180
D12,206.520000mm,-120.240000mm,Top,180
D13,198.290000mm,-126.770000mm,Top,180
D14,197.900000mm,-141.500000mm,Top,180
D15,159.270000mm,-167.680000mm,Top,180
D16,213.640000mm,-136.760000mm,Top,180
D17,220.940000mm,-146.300000mm,Top,180
D18,223.760000mm,-156.240000mm,Top,180
D19,235.150000mm,-149.820000mm,Top,180
D20,256.680000mm,-162.830000mm,Top,180
D21,239.720000mm,-164.060000mm,Top,180
D22,243.870000mm,-182.040000mm,Top,180
D23,216.930000mm,-206.370000mm,Top,0
G***,285.460000mm,-223.870000mm,Top,0
G***,199.170000mm,-139.000000mm,Top,0
P1,113.500000mm,-196.800000mm,Top,270
Q1,150.345000mm,-198.200000mm,Top,180
Q2,150.345000mm,-205.000000mm,Top,0
R1,186.750000mm,-192.160000mm,Top,180
R2,186.750000mm,-190.410000mm,Top,180
R3,150.545000mm,-202.400000mm,Top,0
R4,150.545000mm,-200.800000mm,Top,0
R5,132.910000mm,-148.130000mm,Top,90
R6,135.510000mm,-188.820000mm,Top,180
R7,143.220000mm,-188.795000mm,Top,0
U2,144.075000mm,-201.650000mm,Top,0
U3,131.030000mm,-136.525000mm,Top,90
U4,133.465000mm,-172.110000mm,Top,90
Y1,135.890000mm,-206.150000mm,Top,0
